filename,label,detailed_label,bead_type,buffer_type,condition,test_nr,has_salt,salt_concentration,salt_unit
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.144%_solids_0.05%_tween_[salt_6.9_mg_per_mL]_0.csv,salt_6.9_mg_per_mL,salt_6.9_mg_per_mL_0.45micron_0.144%_solids_0.05%_tween,0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,0,True,6.9,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
side_scatter_0.45micron_0.3%_solids_0.05%_tween_[salt_0_mg_per_mL]_0.csv,salt_0_mg_per_mL,salt_0_mg_per_mL_0.45micron_0.3%_solids_0.05%_tween,0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0,True,0.0,mg_per_ml
